"stars","score","score_location","score_cleaning","score_service","score_value_money","ranking","price_range","opinions","opinions_excellent","opinions_good","opinions_normal","opinions_bad","opinions_awful","num_qa","nearby_restaurants","nearby_attractions","zone","latitude","longitude","has_swimming_pool","has_bar","has_restaurant","has_breakfast","has_gym","has_reception_24h","has_ac","has_strongbox","admits_pets","rooms","suites","sea_views_rooms","non_smoking_rooms","landmarks_views_rooms","city_views_rooms","family_rooms","style","tripadvisor_clasification","language_spanish","language_catalan","language_french","language_english","language_italian","language_bulgarian","language_russian","language_portuguese","prat_distance","price_range_disc","district"
3,4.5,4,4.5,4.5,4.5,150,137,1574,685,692,137,31,30,99,170,11,"Poblenou",41.405308,2.196291,"False","True","True","True","True","True","True","True","False",154,"False","False","True","False","False","False","Ecológico",94,"True","True","True","True","True","False","False","True",15,"Medio","Sant Martí"
5,4,4.5,4.5,4,4,198,217.5,1298,708,339,107,66,78,28,55,20,"Montjuic",41.370338,2.17156,"True","True","True","True","True","True","True","True","False",75,"False","True","True","False","False","False","Vistas al parque",97,"False","True","True","True","False","False","False","False",11,"Caro","Sants-Montjuïc"
5,4.5,4.5,4.5,4.5,4,243,550,7751,4598,1789,671,329,364,182,18,2,"Ciutat Vella",41.36861,2.190032,"True","True","True","True","True","True","True","True","True",473,"True","True","True","False","False","False","Vistas a la bahía",75,"True","False","False","False","False","False","False","False",12,"Lujo","Ciutat Vella"
3,4.5,4,4.5,4.5,4.5,134,148,1404,693,566,103,31,11,71,468,48,"Sant Gervasi-Galvany",41.394268,2.150045,"False","True","True","True","True","True","True","True","False",53,"True","False","True","False","False","False","Boutique",100,"True","True","True","True","True","False","False","False",12,"Medio","Sarrià"
NA,4,4.5,4,4,4.5,80,69,288,113,111,29,11,24,10,388,50,"El Ensanche (Eixample)",41.381451,2.159246,"False","False","False","True","False","False","True","True","False",16,"False","False","True","False","False","True","Económico",100,"True","True","True","True","True","False","False","True",11,"Medio","Eixample"
4,5,5,5,4.5,4.5,10,228,728,589,116,17,4,2,23,454,113,"El Ensanche (Eixample)",41.392868,2.164553,"False","False","False","False","False","False","True","False","False",19,"True","False","True","False","False","True","Familiar",100,"True","True","True","True","False","False","False","False",13,"Caro","Eixample"
3,4.5,4.5,4.5,4.5,4.5,92,92,2252,1282,807,127,21,15,44,566,111,"El Ensanche (Eixample)",41.389297,2.162403,"False","True","False","True","False","True","True","True","False",64,"False","False","True","False","False","True","Moderno",100,"True","True","True","True","False","False","False","False",12,"Medio","Eixample"
4,4,4.5,4.5,4,4,313,148.5,1025,284,434,200,56,51,34,668,275,"Ciutat Vella",41.382381,2.180725,"False","True","False","True","False","True","True","True","False",81,"False","False","True","False","False","False","Clásico",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
4.5,5,5,5,5,4.5,6,198,752,661,71,13,4,3,94,594,296,"Ciutat Vella",41.386108,2.17546,"True","True","True","True","False","True","True","True","False",101,"True","False","True","False","False","False","",100,"True","True","True","True","False","False","False","False",13,"Caro","Ciutat Vella"
3,4.5,4.5,4.5,4.5,4.5,96,90,1171,607,459,77,21,7,42,302,44,"Vila de Gràcia",41.402088,2.151142,"False","True","False","True","False","True","True","True","False",49,"True","False","True","False","False","False","Ecológico",100,"True","True","True","True","True","False","False","False",13,"Medio","Gràcia"
4,4,3.5,4.5,4,4,349,156,2981,1025,1133,485,180,158,71,82,14,"Sant Martí",41.41177,2.219365,"True","True","True","True","True","True","True","True","True",262,"True","True","True","False","False","True","Vistas al mar",98,"False","True","False","True","False","False","False","False",17,"Caro","Sant Martí"
4,4,4,4.5,4.5,4,219,109,1154,494,495,107,35,23,45,268,33,"El Ensanche (Eixample)",41.384346,2.151522,"True","True","False","True","False","True","True","True","False",59,"False","False","True","False","False","True","Con encanto",100,"False","True","True","True","False","False","False","False",11,"Medio","Eixample"
3,3.5,5,4,4,3.5,384,94,785,179,311,136,73,86,37,754,310,"Ciutat Vella",41.381153,2.173451,"False","False","False","True","False","True","True","True","False",52,"False","False","True","False","False","False","De gama media",100,"True","False","True","True","True","False","False","True",12,"Medio","Ciutat Vella"
4,5,5,5,5,4.5,12,214.5,889,713,152,20,2,2,28,576,220,"Ciutat Vella",41.381184,2.181531,"True","True","False","True","False","False","True","True","False",28,"True","True","True","False","False","False","Vistas al puerto deportivo",100,"True","True","True","True","False","False","False","False",12,"Caro","Ciutat Vella"
4,4,4,4.5,4,4,190,135.5,2312,946,857,309,121,79,47,53,8,"Diagonal Mar i el Front Marítim del Poblenou",41.402493,2.212221,"True","True","True","True","True","True","True","True","False",191,"True","True","True","False","False","False","Vistas al mar",87,"False","False","False","True","False","False","False","False",16,"Medio","Sant Martí"
4.5,5,5,5,5,4.5,4,211,787,714,58,8,4,3,60,384,91,"El Ensanche (Eixample)",41.396259,2.162194,"True","True","True","True","True","True","True","True","False",48,"True","False","True","False","False","False","Relación calidad/precio",100,"True","True","True","True","False","False","False","False",13,"Caro","Eixample"
2,4,4.5,4.5,4.5,4.5,62,87.5,1643,849,474,163,83,74,41,435,91,"Vila de Gràcia",41.397175,2.159252,"False","True","False","True","False","True","True","False","False",146,"True","False","True","False","False","True","Céntrico",100,"True","False","True","True","False","False","False","False",13,"Medio","Gràcia"
4,4.5,5,4.5,4.5,4.5,9,217,2701,1939,634,82,27,20,54,516,220,"Ciutat Vella",41.379948,2.180626,"True","True","True","True","False","True","True","True","False",64,"True","True","True","False","False","False","Vistas al puerto",100,"True","True","True","True","False","False","False","False",12,"Caro","Ciutat Vella"
4,4,4,4.5,4,4,220,128.5,4621,1776,2106,506,145,89,155,120,11,"El Parc i la Llacuna del Poblenou",41.403809,2.191149,"True","True","True","True","True","True","True","True","False",264,"True","False","True","False","False","True","Ecológico",100,"True","True","True","True","False","False","False","False",15,"Medio","Sant Martí"
4,4,4.5,4.5,4,4,111,107,3281,1620,890,410,221,140,54,544,92,"El Ensanche (Eixample)",41.387348,2.160496,"True","True","True","True","True","True","True","True","False",101,"True","False","True","False","False","False","Moderno",100,"True","True","True","True","True","False","False","True",12,"Medio","Eixample"
2,4,5,4.5,4.5,4.5,194,96,1243,394,620,173,37,19,46,645,258,"Ciutat Vella",41.379215,2.175144,"False","False","False","True","False","True","True","True","False",34,"False","False","True","False","False","True","Clásico",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
1,3.5,4,4.5,4,4,299,113.5,2080,536,838,427,163,116,125,223,21,"Poblenou",41.399891,2.200992,"False","True","True","True","False","True","True","False","False",250,"False","False","True","False","False","True","Tranquilo",94,"True","True","True","True","True","False","False","False",15,"Medio","Sant Martí"
4,4,4,4.5,4,4,173,125,375,190,115,39,18,13,92,65,14,"El Parc i la Llacuna del Poblenou",41.396931,2.192261,"True","True","True","True","True","True","True","True","False",195,"True","False","True","False","False","True","De gama media",100,"True","True","False","True","False","False","False","False",14,"Medio","Sant Martí"
2,4.5,4,4.5,4.5,4,131,118.5,913,422,371,89,18,13,74,79,11,"El Parc i la Llacuna del Poblenou",41.394852,2.19344,"True","True","False","True","False","True","True","False","False",213,"False","False","True","False","False","False","Familiar",100,"True","True","True","True","True","False","False","False",14,"Medio","Sant Martí"
4,4.5,4,4.5,4.5,4,133,153,4783,2323,1761,488,133,78,136,540,141,"Ciutat Vella",41.379021,2.169597,"True","True","True","True","True","True","True","True","False",186,"True","False","True","False","False","False","Vistas fantásticas",100,"False","False","False","True","False","False","False","False",12,"Caro","Ciutat Vella"
3,4.5,5,4.5,4.5,4.5,29,131.5,5314,3405,1659,192,36,23,100,526,130,"El Ensanche (Eixample)",41.386112,2.165785,"True","True","False","True","False","True","True","True","False",108,"True","False","True","False","True","False","Relación calidad/precio",100,"True","True","True","True","True","False","False","False",12,"Medio","Eixample"
NA,5,5,5,5,5,18,116.5,164,147,13,1,1,2,1,465,107,"El Ensanche (Eixample)",41.390148,2.16788,"False","True","False","True","False","True","True","True","False",37,"True","False","True","False","True","True","",100,"True","True","False","True","False","False","False","False",12,"Medio","Eixample"
2,4,4.5,4.5,4.5,4.5,50,436,797,346,329,91,19,12,42,396,76,"El Ensanche (Eixample)",41.3964,2.166616,"False","False","False","False","False","True","True","False","False",10,"False","False","True","False","False","False","Barrio residencial",100,"True","False","False","True","False","False","False","False",13,"Lujo","Eixample"
4,4,4,4,4,4,296,99.5,488,152,189,103,32,13,12,213,20,"Sant Gervasi-Galvany",41.399868,2.144936,"False","False","False","True","False","True","True","True","False",78,"False","False","True","False","True","True","Barrio residencial",100,"True","True","True","True","True","False","False","False",12,"Medio","Sarrià"
2,4,4.5,4.5,4.5,4.5,157,91,2137,786,1136,185,24,7,44,218,31,"El Ensanche (Eixample)",41.398434,2.177935,"False","False","False","True","False","True","True","True","False",71,"False","False","True","False","False","True","Barrio residencial",100,"True","True","True","True","True","False","True","True",14,"Medio","Eixample"
4.5,4.5,5,5,4.5,4.5,25,201.5,1302,1029,207,44,8,14,55,461,173,"Ciutat Vella",41.388023,2.173152,"True","True","True","True","False","True","True","True","False",101,"True","False","True","False","False","False","Moderno",100,"False","True","True","True","False","False","False","False",13,"Caro","Ciutat Vella"
3,4,4.5,4,4,4,314,104.5,533,147,254,89,24,19,14,162,32,"Sants-Montjuïc",41.373077,2.145975,"False","False","False","True","False","True","True","True","False",31,"True","False","True","False","False","True","Familiar",100,"True","False","True","True","True","False","False","False",10,"Medio","Sants-Montjuïc"
4,5,5,5,5,4.5,10,175,611,536,57,13,3,2,31,453,156,"Ciutat Vella",41.388741,2.17599,"True","True","True","True","True","False","True","True","False",60,"True","False","True","False","False","True","Romántico",100,"False","True","False","False","False","False","False","False",13,"Caro","Ciutat Vella"
5,4.5,4.5,4.5,4.5,4,130,469.5,5591,3633,1202,440,172,144,88,110,30,"Ciutat Vella",41.386749,2.196823,"True","True","True","True","True","True","True","True","False",483,"True","True","True","False","True","True","Vistas fantásticas",100,"True","True","True","True","True","False","False","True",14,"Lujo","Ciutat Vella"
2,4,4,4.5,4,4.5,127,64.5,100,34,37,20,4,5,6,269,32,"El Ensanche (Eixample)",41.396542,2.175483,"False","False","False","False","False","True","True","True","False",7,"False","False","True","False","False","False","De gama media",100,"True","False","False","True","False","False","False","False",13,"Medio","Eixample"
2,4.5,4,4.5,4.5,4.5,149,83.5,507,247,195,47,11,7,54,77,16,"Sants-Montjuïc",41.371799,2.136636,"False","False","False","True","False","True","True","True","False",55,"False","False","True","False","False","True","Barrio residencial",100,"True","True","True","True","True","False","False","False",9,"Medio","Sants-Montjuïc"
3,4.5,4.5,4.5,4.5,4.5,94,96,2764,1606,877,200,51,30,55,380,95,"El Ensanche (Eixample)",41.396275,2.163167,"False","False","False","True","False","True","True","True","False",74,"False","False","True","False","True","False","Con encanto",100,"True","True","False","True","False","False","False","False",13,"Medio","Eixample"
4,4,4.5,4,4,4,238,147.5,4226,1222,1747,808,265,184,131,288,69,"Sants-Montjuïc",41.374767,2.170388,"False","True","False","True","False","True","False","True","False",314,"True","False","True","False","False","False","Ecológico",100,"True","True","True","True","True","False","False","False",11,"Medio","Sants-Montjuïc"
4,4,4,4.5,4,4,236,144,3077,1250,1250,357,130,90,137,97,9,"La Vila Olímpica del Poblenou",41.392918,2.192717,"True","True","True","True","True","True","True","True","False",235,"True","False","True","False","False","False","Ecológico",100,"True","True","True","True","True","False","False","False",14,"Medio","Sant Martí"
3,4,4.5,4.5,4,4,225,112.5,765,296,332,81,22,34,44,649,226,"Ciutat Vella",41.380066,2.171172,"True","True","False","True","False","True","True","True","False",110,"True","False","True","False","False","False","De gama media",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
3,4.5,5,4.5,4.5,4,118,103.5,3382,1497,1431,321,84,50,128,530,195,"Ciutat Vella",41.378201,2.1756,"False","False","False","True","False","True","True","True","False",98,"True","False","True","False","True","True","Vistas a la ciudad",100,"True","True","True","True","True","False","True","True",12,"Medio","Ciutat Vella"
2,3.5,3.5,4,4,3.5,377,78.5,381,53,155,113,40,20,37,344,24,"El Ensanche (Eixample)",41.390095,2.147397,"True","True","True","True","False","True","True","True","False",34,"False","False","True","False","False","False","",100,"True","True","True","True","True","False","False","False",12,"Medio","Eixample"
4,4,4,4.5,4,4,301,144,1975,554,913,330,111,68,54,70,11,"La Vila Olímpica del Poblenou",41.393681,2.199376,"True","True","True","True","True","True","True","True","True",180,"True","False","True","False","True","True","De gama media",97,"False","True","False","True","False","False","False","False",14,"Medio","Sant Martí"
3,3.5,5,4.5,4.5,3.5,382,120,167,50,61,29,12,15,11,771,327,"Ciutat Vella",41.381687,2.173425,"False","False","False","False","False","True","True","True","False",42,"False","False","True","False","False","False","Céntrico",100,"True","False","False","True","True","False","False","True",12,"Medio","Ciutat Vella"
3,3.5,4,3.5,3.5,3.5,431,127.5,136,27,47,32,11,19,1,190,22,"Sant Gervasi-Galvany",41.398464,2.14264,"False","False","False","True","False","False","True","False","False",20,"False","False","True","False","False","True","",97,"True","False","False","True","False","False","False","False",12,"Medio","Sarrià"
2,4,5,4,4,4,48,86.5,833,250,419,114,30,20,25,774,331,"Ciutat Vella",41.381474,2.175402,"False","False","True","True","False","True","True","True","False",38,"False","False","True","False","False","True","Céntrico",100,"True","True","True","True","True","False","False","False",12,"Medio","Ciutat Vella"
3,3.5,3.5,4,4,3.5,355,79,1271,238,472,315,141,105,32,18,13,"El Coll",41.414253,2.144828,"True","True","True","True","False","True","True","True","False",139,"False","False","True","False","False","False","Barrio residencial",87,"True","True","True","True","False","False","False","False",14,"Medio","Gràcia"
4,4,4,4.5,4,4,251,119,660,231,272,83,40,34,19,333,35,"Sant Gervasi-Galvany",41.398193,2.149508,"False","False","False","True","False","True","True","True","False",69,"False","False","True","False","False","False","Barrio residencial",100,"True","False","True","True","True","False","True","False",12,"Medio","Sarrià"
